method,n_clusters,silhouette,aic,bic,calinski_harabasz,davies_bouldin
gmm,2,0.28216314512983764,-298.7039601955214,-163.47294816705192,83.85597035747291,1.4633430905342797
gmm,3,0.27469484682451034,-356.70396614505137,-152.20828941907314,71.09219722954522,1.3297785179559567
gmm,4,0.2629889237748168,-396.2597942619957,-122.49945283850866,62.89412983436873,1.2205955179697199
gmm,5,0.06319730702487218,-2767.3301569565283,-2424.3051508355325,18.08470712869916,1.5287412526157618
gmm,6,0.0075205555960686935,-2771.4295388863193,-2359.139868067815,11.611082758988974,1.3011286090714669
